tree.id,site.id,rep,spcode,name,cover
661,mo,1,ange,Andropogon gerardii,70
661,mo,1,elca4,Elymus canadensis,1
661,mo,1,brte,Bromus tectorum,3
661,mo,1,herb,Asteraceae,65
661,mo,1,sedge,Cyperaceae,35
661,mo,2,ange,Andropogon gerardii,55
661,mo,2,brte,Bromus tectorum,5
661,mo,2,herb,Asteraceae,80
661,mo,2,sedge,Cyperaceae,65
661,mo,3,ange,Andropogon gerardii,55
661,mo,3,elca4,Elymus canadensis,10
661,mo,3,sedge,Cyperaceae,30
661,mo,3,herb,Asteraceae,75
680,mo,1,pavi2,Panicum virgatum,20
680,mo,1,elca4,Elymus canadensis,5
680,mo,1,sedge,Cyperaceae,100
680,mo,1,herb,Asteraceae,25
680,mo,2,pavi2,Panicum virgatum,40
680,mo,2,elca4,Elymus canadensis,20
680,mo,2,sedge,Cyperaceae,90
680,mo,2,herb,Asteraceae,35
680,mo,3,elca4,Elymus canadensis,15
680,mo,3,pavi2,Panicum virgatum,20
680,mo,3,sedge,Cyperaceae,100
680,mo,3,herb,Asteraceae,35
670,mo,1,ange,Andropogon gerardii,35
670,mo,1,herb,Asteraceae,65
670,mo,1,sedge,Cyperaceae,60
670,mo,1,bg,bare ground,30
670,mo,2,ange,Andropogon gerardii,70
670,mo,2,pavi2,Panicum virgatum,20
670,mo,2,herb,Asteraceae,35
670,mo,2,sedge,Cyperaceae,10
670,mo,2,bg,bare ground,15
670,mo,3,ange,Andropogon gerardii,80
670,mo,3,elca4,Elymus canadensis,5
670,mo,3,herb,Asteraceae,30
670,mo,3,sedge,Cyperaceae,15
670,mo,3,brte,Bromus tectorum,5
669,mo,1,ange,Andropogon gerardii,75
669,mo,1,elca4,Elymus canadensis,15
669,mo,1,herb,Asteraceae,40
669,mo,1,sedge,Cyperaceae,55
669,mo,1,bg,bare ground,15
669,mo,2,ange,Andropogon gerardii,25
669,mo,2,elca4,Elymus canadensis,5
669,mo,2,sedge,Cyperaceae,50
669,mo,2,bg,bare ground,50
669,mo,2,herb,Asteraceae,10
669,mo,3,ange,Andropogon gerardii,70
669,mo,3,elca4,Elymus canadensis,10
669,mo,3,herb,Asteraceae,70
669,mo,3,sedge,Cyperaceae,30
669,mo,3,bg,bare ground,10
678,mo,1,ange,Andropogon gerardii,55
678,mo,1,elca4,Elymus canadensis,1
678,mo,1,herb,Asteraceae,45
678,mo,1,sedge,Cyperaceae,30
678,mo,1,bg,bare ground,15
678,mo,2,ange,Andropogon gerardii,70
678,mo,2,elca4,Elymus canadensis,5
678,mo,2,brte,Bromus tectorum,1
678,mo,2,herb,Asteraceae,30
678,mo,2,sedge,Cyperaceae,25
678,mo,3,ange,Andropogon gerardii,45
678,mo,3,elca4,Elymus canadensis,5
678,mo,3,herb,Asteraceae,90
678,mo,3,sedge,Cyperaceae,40
671,mo,1,ange,Andropogon gerardii,45
671,mo,1,herb,Asteraceae,50
671,mo,1,sedge,Cyperaceae,40
671,mo,2,ange,Andropogon gerardii,45
671,mo,2,ukw1,Poaceae,10
671,mo,2,herb,Asteraceae,55
671,mo,2,sedge,Cyperaceae,55
671,mo,3,ange,Andropogon gerardii,70
671,mo,3,ukw1,Poaceae,1
671,mo,3,herb,Asteraceae,50
671,mo,3,sedge,Cyperaceae,80
672,mo,1,ange,Andropogon gerardii,25
672,mo,1,elca4,Elymus canadensis,1
672,mo,1,herb,Asteraceae,95
672,mo,1,sedge,Cyperaceae,10
672,mo,1,bg,bare ground,5
672,mo,2,ange,Andropogon gerardii,45
672,mo,2,herb,Asteraceae,100
672,mo,2,sedge,Cyperaceae,10
672,mo,3,ange,Andropogon gerardii,20
672,mo,3,herb,Asteraceae,100
672,mo,3,sedge,Cyperaceae,5
672,mo,3,ange,Andropogon gerardii,15
672,mo,3,brte,Bromus tectorum,20
672,mo,3,herb,Asteraceae,30
672,mo,3,sedge,Cyperaceae,100
676,mo,1,ange,Andropogon gerardii,15
676,mo,1,brte,Bromus tectorum,20
676,mo,1,herb,Asteraceae,30
676,mo,1,sedge,Cyperaceae,100
676,mo,2,ange,Andropogon gerardii,40
676,mo,2,brte,Bromus tectorum,5
676,mo,2,herb,Asteraceae,80
676,mo,2,sedge,Cyperaceae,5
676,mo,3,ange,Andropogon gerardii,45
676,mo,3,brte,Bromus tectorum,10
676,mo,3,sedge,Cyperaceae,75
676,mo,3,herb,Asteraceae,25
679,mo,1,ange,Andropogon gerardii,50
679,mo,1,sedge,Cyperaceae,100
679,mo,1,herb,Asteraceae,20
679,mo,2,ange,Andropogon gerardii,25
679,mo,2,elca4,Elymus canadensis,5
679,mo,2,brte,Bromus tectorum,25
679,mo,2,sedge,Cyperaceae,95
679,mo,2,herb,Asteraceae,10
679,mo,3,ange,Andropogon gerardii,35
679,mo,3,elca4,Elymus canadensis,5
679,mo,3,brte,Bromus tectorum,30
679,mo,3,herb,Asteraceae,35
679,mo,3,sedge,Cyperaceae,25
656,mo,1,elca4,Elymus canadensis,10
656,mo,1,herb,Asteraceae,100
656,mo,1,sedge,Cyperaceae,20
656,mo,2,ange,Andropogon gerardii,35
656,mo,2,elca4,Elymus canadensis,2
656,mo,2,herb,Asteraceae,70
656,mo,2,sedge,Cyperaceae,30
656,mo,3,ange,Andropogon gerardii,20
656,mo,3,elca4,Elymus canadensis,20
656,mo,3,brte,Bromus tectorum,20
656,mo,3,herb,Asteraceae,100
662,mo,1,ange,Andropogon gerardii,15
662,mo,1,brte,Bromus tectorum,15
662,mo,1,herb,Asteraceae,70
662,mo,1,sedge,Cyperaceae,20
662,mo,2,elca4,Elymus canadensis,50
662,mo,2,ange,Andropogon gerardii,40
662,mo,2,herb,Asteraceae,60
662,mo,2,sedge,Cyperaceae,10
662,mo,3,ange,Andropogon gerardii,20
662,mo,3,elca4,Elymus canadensis,15
662,mo,3,herb,Asteraceae,75
662,mo,3,brte,Bromus tectorum,5
662,mo,3,sedge,Cyperaceae,5
662,mo,3,bg,bare ground,20
663,mo,1,ange,Andropogon gerardii,55
663,mo,1,elca4,Elymus canadensis,1
663,mo,1,sedge,Cyperaceae,50
663,mo,1,herb,Asteraceae,30
663,mo,2,ange,Andropogon gerardii,30
663,mo,2,brte,Bromus tectorum,20
663,mo,2,herb,Asteraceae,70
663,mo,2,sedge,Cyperaceae,55
663,mo,3,ange,Andropogon gerardii,50
663,mo,3,herb,Asteraceae,100
663,mo,3,sedge,Cyperaceae,40
664,mo,1,ange,Andropogon gerardii,25
664,mo,1,herb,Asteraceae,100
664,mo,1,sedge,Cyperaceae,20
664,mo,2,ange,Andropogon gerardii,50
664,mo,2,herb,Asteraceae,100
664,mo,2,sedge,Cyperaceae,20
664,mo,3,ange,Andropogon gerardii,40
664,mo,3,herb,Asteraceae,85
664,mo,3,sedge,Cyperaceae,20
666,mo,1,ange,Andropogon gerardii,45
666,mo,1,brte,Bromus tectorum,1
666,mo,1,herb,Asteraceae,75
666,mo,1,sedge,Cyperaceae,25
666,mo,2,ange,Andropogon gerardii,35
666,mo,2,pavi2,Panicum virgatum,15
666,mo,2,sedge,Cyperaceae,75
666,mo,2,herb,Asteraceae,50
666,mo,3,ange,Andropogon gerardii,55
666,mo,3,pavi2,Panicum virgatum,30
666,mo,3,herb,Asteraceae,55
666,mo,3,brte,Bromus tectorum,10
666,mo,3,sedge,Cyperaceae,30
667,mo,1,ange,Andropogon gerardii,35
667,mo,1,brte,Bromus tectorum,5
667,mo,1,herb,Asteraceae,25
667,mo,1,sedge,Cyperaceae,55
667,mo,1,bg,bare ground,10
667,mo,2,elca4,Elymus canadensis,45
667,mo,2,brte,Bromus tectorum,15
667,mo,2,herb,Asteraceae,20
667,mo,2,sedge,Cyperaceae,70
667,mo,3,elca4,Elymus canadensis,65
667,mo,3,ange,Andropogon gerardii,10
667,mo,3,herb,Asteraceae,45
667,mo,3,brte,Bromus tectorum,5
667,mo,3,sedge,Cyperaceae,10
667,mo,3,bg,bare ground,15
665,mo,1,ange,Andropogon gerardii,35
665,mo,1,elca4,Elymus canadensis,40
665,mo,1,sedge,Cyperaceae,80
665,mo,1,herb,Asteraceae,15
665,mo,1,bg,bare ground,40
665,mo,2,ange,Andropogon gerardii,80
665,mo,2,elca4,Elymus canadensis,25
665,mo,2,sedge,Cyperaceae,45
665,mo,2,herb,Asteraceae,10
665,mo,2,bg,bare ground,35
665,mo,3,ange,Andropogon gerardii,50
665,mo,3,elca4,Elymus canadensis,5
665,mo,3,brte,Bromus tectorum,2
665,mo,3,sedge,Cyperaceae,60
665,mo,3,herb,Asteraceae,15
665,mo,3,bg,bare ground,35
668,mo,1,ange,Andropogon gerardii,30
668,mo,1,elca4,Elymus canadensis,45
668,mo,1,herb,Asteraceae,55
668,mo,1,sedge,Cyperaceae,25
668,mo,1,brte,Bromus tectorum,5
668,mo,2,ange,Andropogon gerardii,40
668,mo,2,brte,Bromus tectorum,5
668,mo,2,elca4,Elymus canadensis,5
668,mo,2,herb,Asteraceae,50
668,mo,2,sedge,Cyperaceae,25
668,mo,2,bg,bare ground,15
668,mo,3,ange,Andropogon gerardii,55
668,mo,3,elca4,Elymus canadensis,15
668,mo,3,herb,Asteraceae,65
668,mo,3,sedge,Cyperaceae,15
668,mo,3,bg,bare ground,25
675,mo,1,herb,Asteraceae,55
675,mo,1,sedge,Cyperaceae,80
675,mo,2,ange,Andropogon gerardii,15
675,mo,2,herb,Asteraceae,60
675,mo,2,sedge,Cyperaceae,80
675,mo,3,ange,Andropogon gerardii,25
675,mo,3,herb,Asteraceae,100
675,mo,3,sedge,Cyperaceae,50
674,mo,1,ange,Andropogon gerardii,45
674,mo,1,elca4,Elymus canadensis,15
674,mo,1,brte,Bromus tectorum,15
674,mo,1,herb,Asteraceae,45
674,mo,2,ange,Andropogon gerardii,15
674,mo,2,herb,Asteraceae,35
674,mo,2,sedge,Cyperaceae,75
674,mo,2,bg,bare ground,25
674,mo,3,elca4,Elymus canadensis,5
674,mo,3,herb,Asteraceae,50
674,mo,3,sedge,Cyperaceae,35
674,mo,3,bg,bare ground,30
673,mo,1,ange,Andropogon gerardii,60
673,mo,1,sedge,Cyperaceae,25
673,mo,1,herb,Asteraceae,80
673,mo,2,ange,Andropogon gerardii,70
673,mo,2,herb,Asteraceae,80
673,mo,2,sedge,Cyperaceae,15
673,mo,3,ange,Andropogon gerardii,40
673,mo,3,herb,Asteraceae,100
673,mo,3,elca4,Elymus canadensis,2
677,mo,1,ange,Andropogon gerardii,40
677,mo,1,herb,Asteraceae,55
677,mo,1,sedge,Cyperaceae,30
677,mo,2,ange,Andropogon gerardii,40
677,mo,2,herb,Asteraceae,60
677,mo,2,sedge,Cyperaceae,20
677,mo,3,ange,Andropogon gerardii,25
677,mo,3,herb,Asteraceae,80
677,mo,3,brte,Bromus tectorum,3
658,mo,1,ange,Andropogon gerardii,60
658,mo,1,elca4,Elymus canadensis,2
658,mo,1,brte,Bromus tectorum,2
658,mo,1,herb,Asteraceae,20
658,mo,1,sedge,Cyperaceae,15
658,mo,1,bg,bare ground,20
658,mo,2,ange,Andropogon gerardii,75
658,mo,2,elca4,Elymus canadensis,10
658,mo,2,herb,Asteraceae,35
658,mo,2,sedge,Cyperaceae,80
658,mo,3,ange,Andropogon gerardii,85
658,mo,3,elca4,Elymus canadensis,5
658,mo,3,brte,Bromus tectorum,5
658,mo,3,herb,Asteraceae,45
658,mo,3,sedge,Cyperaceae,20
659,mo,1,ange,Andropogon gerardii,35
659,mo,1,elca4,Elymus canadensis,5
659,mo,1,herb,Asteraceae,75
659,mo,1,sedge,Cyperaceae,40
659,mo,2,ange,Andropogon gerardii,35
659,mo,2,elca4,Elymus canadensis,5
659,mo,2,herb,Asteraceae,40
659,mo,2,sedge,Cyperaceae,70
659,mo,3,elca4,Elymus canadensis,25
659,mo,3,ange,Andropogon gerardii,50
659,mo,3,herb,Asteraceae,30
659,mo,3,sedge,Cyperaceae,40
660,mo,1,ange,Andropogon gerardii,40
660,mo,1,sedge,Cyperaceae,100
660,mo,1,herb,Asteraceae,15
660,mo,2,ange,Andropogon gerardii,60
660,mo,2,pavi2,Panicum virgatum,20
660,mo,2,sedge,Cyperaceae,100
660,mo,2,herb,Asteraceae,25
660,mo,3,ange,Andropogon gerardii,35
660,mo,3,sedge,Cyperaceae,100
660,mo,3,herb,Asteraceae,10
622,mo,1,ange,Andropogon gerardii,30
622,mo,1,herb,Asteraceae,90
622,mo,1,sedge,Cyperaceae,15
622,mo,1,bg,bare ground,15
622,mo,1,brte,Bromus tectorum,1
622,mo,2,ange,Andropogon gerardii,40
622,mo,2,herb,Asteraceae,70
622,mo,2,brte,Bromus tectorum,1
622,mo,2,sedge,Cyperaceae,1
622,mo,2,bg,bare ground,15
622,mo,3,ange,Andropogon gerardii,80
622,mo,3,elca4,Elymus canadensis,2
622,mo,3,herb,Asteraceae,50
622,mo,3,sedge,Cyperaceae,10
622,mo,3,brte,Bromus tectorum,5
622,mo,3,bg,bare ground,3
622,mo,3,ukw2,Bouteloua spp.,1
635,mo,1,ange,Andropogon gerardii,35
635,mo,1,brte,Bromus tectorum,3
635,mo,1,sedge,Cyperaceae,40
635,mo,1,herb,Asteraceae,40
635,mo,1,bg,bare ground,3
635,mo,2,ange,Andropogon gerardii,35
635,mo,2,herb,Asteraceae,45
635,mo,2,sedge,Cyperaceae,45
635,mo,2,bg,bare ground,30
635,mo,3,ange,Andropogon gerardii,35
635,mo,3,elca4,Elymus canadensis,2
635,mo,3,herb,Asteraceae,40
635,mo,3,sedge,Cyperaceae,80
635,mo,3,bg,bare ground,15
636,mo,1,ange,Andropogon gerardii,80
636,mo,1,brte,Bromus tectorum,5
636,mo,1,herb,Asteraceae,30
636,mo,1,sedge,Cyperaceae,40
636,mo,1,bg,bare ground,5
636,mo,2,ange,Andropogon gerardii,30
636,mo,2,herb,Asteraceae,10
636,mo,2,sedge,Cyperaceae,80
636,mo,2,bg,bare ground,20
636,mo,3,ange,Andropogon gerardii,45
636,mo,3,brte,Bromus tectorum,15
636,mo,3,herb,Asteraceae,100
636,mo,3,sedge,Cyperaceae,5
621,mo,1,elca4,Elymus canadensis,3
621,mo,1,ange,Andropogon gerardii,20
621,mo,1,brte,Bromus tectorum,3
621,mo,1,herb,Asteraceae,90
621,mo,1,sedge,Cyperaceae,15
621,mo,1,bg,bare ground,10
621,mo,2,ange,Andropogon gerardii,60
621,mo,2,brte,Bromus tectorum,10
621,mo,2,herb,Asteraceae,65
621,mo,2,sedge,Cyperaceae,10
621,mo,2,bg,bare ground,20
621,mo,3,ange,Andropogon gerardii,60
621,mo,3,elca4,Elymus canadensis,1
621,mo,3,herb,Asteraceae,95
621,mo,3,sedge,Cyperaceae,3
632,mo,1,ange,Andropogon gerardii,80
632,mo,1,elca4,Elymus canadensis,1
632,mo,1,herb,Asteraceae,20
632,mo,1,sedge,Cyperaceae,10
632,mo,1,bg,bare ground,10
632,mo,1,brte,Bromus tectorum,30
632,mo,2,ange,Andropogon gerardii,80
632,mo,2,elca4,Elymus canadensis,5
632,mo,2,brte,Bromus tectorum,60
632,mo,2,herb,Asteraceae,50
632,mo,3,ange,Andropogon gerardii,70
632,mo,3,brte,Bromus tectorum,50
632,mo,3,herb,Asteraceae,35
632,mo,3,sedge,Cyperaceae,25
632,mo,3,bg,bare ground,10
631,mo,1,ange,Andropogon gerardii,70
631,mo,1,brte,Bromus tectorum,5
631,mo,1,herb,Asteraceae,10
631,mo,1,sedge,Cyperaceae,25
631,mo,1,bg,bare ground,15
631,mo,2,ange,Andropogon gerardii,65
631,mo,2,brte,Bromus tectorum,1
631,mo,2,herb,Asteraceae,60
631,mo,2,sedge,Cyperaceae,80
631,mo,2,bg,bare ground,5
