tree.id,site.id,rep,spcode,name,cover
631,mo,3,ange,Andropogon gerardii,50
631,mo,3,brte,Bromus tectorum,5
631,mo,3,herb,Asteraceae,80
631,mo,3,sedge,Cyperaceae,10
629,mo,1,ange,Andropogon gerardii,40
629,mo,1,elca4,Elymus canadensis,30
629,mo,1,brte,Bromus tectorum,50
629,mo,1,herb,Asteraceae,75
629,mo,2,ange,Andropogon gerardii,55
629,mo,2,elca4,Elymus canadensis,70
629,mo,2,brte,Bromus tectorum,25
629,mo,2,herb,Asteraceae,50
629,mo,2,sedge,Cyperaceae,25
629,mo,2,bg,bare ground,5
629,mo,3,ange,Andropogon gerardii,95
629,mo,3,elca4,Elymus canadensis,25
629,mo,3,brte,Bromus tectorum,10
629,mo,3,herb,Asteraceae,70
629,mo,3,sedge,Cyperaceae,15
629,mo,3,bg,bare ground,5
630,mo,1,ange,Andropogon gerardii,75
630,mo,1,herb,Asteraceae,40
630,mo,1,sedge,Cyperaceae,80
630,mo,1,brte,Bromus tectorum,10
630,mo,2,ange,Andropogon gerardii,25
630,mo,2,elca4,Elymus canadensis,5
630,mo,2,brte,Bromus tectorum,1
630,mo,2,ukw3,Poaceae,5
630,mo,2,herb,Asteraceae,100
630,mo,2,sedge,Cyperaceae,20
630,mo,3,ange,Andropogon gerardii,85
630,mo,3,brte,Bromus tectorum,15
630,mo,3,herb,Asteraceae,60
630,mo,3,sedge,Cyperaceae,10
628,mo,1,ange,Andropogon gerardii,85
628,mo,1,brte,Bromus tectorum,20
628,mo,1,herb,Asteraceae,20
628,mo,2,ange,Andropogon gerardii,30
628,mo,2,elca4,Elymus canadensis,60
628,mo,2,brte,Bromus tectorum,20
628,mo,2,herb,Asteraceae,35
628,mo,2,sedge,Cyperaceae,50
628,mo,3,ange,Andropogon gerardii,50
628,mo,3,elca4,Elymus canadensis,35
628,mo,3,brte,Bromus tectorum,20
628,mo,3,herb,Asteraceae,20
628,mo,3,bg,bare ground,20
633,mo,1,ange,Andropogon gerardii,25
633,mo,1,elca4,Elymus canadensis,25
633,mo,1,brte,Bromus tectorum,15
633,mo,1,herb,Asteraceae,70
633,mo,1,sedge,Cyperaceae,15
633,mo,1,bg,bare ground,10
633,mo,2,ange,Andropogon gerardii,45
633,mo,2,elca4,Elymus canadensis,10
633,mo,2,brte,Bromus tectorum,20
633,mo,2,herb,Asteraceae,50
633,mo,2,sedge,Cyperaceae,20
633,mo,2,bg,bare ground,20
633,mo,3,ange,Andropogon gerardii,45
633,mo,3,elca4,Elymus canadensis,50
633,mo,3,herb,Asteraceae,60
633,mo,3,sedge,Cyperaceae,50
634,mo,1,ange,Andropogon gerardii,15
634,mo,1,elca4,Elymus canadensis,40
634,mo,1,brte,Bromus tectorum,10
634,mo,1,herb,Asteraceae,35
634,mo,1,sedge,Cyperaceae,10
634,mo,1,bg,bare ground,15
634,mo,2,ange,Andropogon gerardii,80
634,mo,2,elca4,Elymus canadensis,15
634,mo,2,brte,Bromus tectorum,10
634,mo,2,herb,Asteraceae,70
634,mo,2,sedge,Cyperaceae,35
634,mo,3,ange,Andropogon gerardii,100
634,mo,3,elca4,Elymus canadensis,20
634,mo,3,brte,Bromus tectorum,30
634,mo,3,herb,Asteraceae,15
634,mo,3,sedge,Cyperaceae,1
624,mo,1,ange,Andropogon gerardii,25
624,mo,1,herb,Asteraceae,90
624,mo,2,ange,Andropogon gerardii,60
624,mo,2,sedge,Cyperaceae,30
624,mo,2,herb,Asteraceae,20
624,mo,3,ange,Andropogon gerardii,65
624,mo,3,herb,Asteraceae,20
624,mo,3,sedge,Cyperaceae,60
625,mo,1,herb,Asteraceae,50
625,mo,1,sedge,Cyperaceae,80
625,mo,2,herb,Asteraceae,70
625,mo,2,sedge,Cyperaceae,50
625,mo,2,ange,Andropogon gerardii,5
625,mo,3,sedge,Cyperaceae,100
625,mo,3,herb,Asteraceae,30
625,mo,3,ange,Andropogon gerardii,10
637,mo,1,ange,Andropogon gerardii,5
637,mo,1,sedge,Cyperaceae,15
637,mo,1,herb,Asteraceae,100
637,mo,2,pavi2,Panicum virgatum,40
637,mo,2,herb,Asteraceae,95
637,mo,2,sedge,Cyperaceae,10
637,mo,3,ange,Andropogon gerardii,15
637,mo,3,elca4,Elymus canadensis,10
637,mo,3,pavi2,Panicum virgatum,25
637,mo,3,herb,Asteraceae,100
637,mo,3,brte,Bromus tectorum,1
637,mo,3,sedge,Cyperaceae,5
623,mo,1,ange,Andropogon gerardii,20
623,mo,1,sedge,Cyperaceae,95
623,mo,1,herb,Asteraceae,25
623,mo,2,ange,Andropogon gerardii,95
623,mo,2,herb,Asteraceae,50
623,mo,3,ange,Andropogon gerardii,30
623,mo,3,elca4,Elymus canadensis,40
623,mo,3,herb,Asteraceae,55
623,mo,3,sedge,Cyperaceae,45
627,mo,1,elca4,Elymus canadensis,70
627,mo,1,sedge,Cyperaceae,30
627,mo,1,ange,Andropogon gerardii,20
627,mo,1,herb,Asteraceae,45
627,mo,1,brte,Bromus tectorum,1
627,mo,2,ange,Andropogon gerardii,50
627,mo,2,brte,Bromus tectorum,5
627,mo,2,herb,Asteraceae,55
627,mo,2,sedge,Cyperaceae,20
627,mo,3,ange,Andropogon gerardii,20
627,mo,3,elca4,Elymus canadensis,25
627,mo,3,herb,Asteraceae,90
627,mo,3,sedge,Cyperaceae,30
638,mo,1,elca4,Elymus canadensis,40
638,mo,1,ange,Andropogon gerardii,15
638,mo,1,ukw4,Agrostis spp.,5
638,mo,1,sedge,Cyperaceae,80
638,mo,1,herb,Asteraceae,20
638,mo,2,ange,Andropogon gerardii,40
638,mo,2,pavi2,Panicum virgatum,5
638,mo,2,ukw4,Agrostis spp.,5
638,mo,2,herb,Asteraceae,45
638,mo,2,sedge,Cyperaceae,45
638,mo,3,ange,Andropogon gerardii,50
638,mo,3,brte,Bromus tectorum,1
638,mo,3,ukw4,Agrostis spp.,25
638,mo,3,herb,Asteraceae,90
638,mo,3,sedge,Cyperaceae,5
640,mo,1,ange,Andropogon gerardii,30
640,mo,1,elca4,Elymus canadensis,25
640,mo,1,brte,Bromus tectorum,10
640,mo,1,ukw4,Agrostis spp.,5
640,mo,1,herb,Asteraceae,70
640,mo,1,sedge,Cyperaceae,25
640,mo,2,elca4,Elymus canadensis,25
640,mo,2,fear,Festuca arundinacea,2
640,mo,2,herb,Asteraceae,100
640,mo,2,sedge,Cyperaceae,15
640,mo,3,elca4,Elymus canadensis,30
640,mo,3,fear,Festuca arundinacea,5
640,mo,3,ukw4,Agrostis spp.,1
640,mo,3,sedge,Cyperaceae,85
640,mo,3,herb,Asteraceae,70
626,mo,1,fear,Festuca arundinacea,30
626,mo,1,ange,Andropogon gerardii,15
626,mo,1,ukw4,Agrostis spp.,5
626,mo,1,sedge,Cyperaceae,45
626,mo,1,herb,Asteraceae,35
626,mo,2,pavi2,Panicum virgatum,60
626,mo,2,fear,Festuca arundinacea,20
626,mo,2,elca4,Elymus canadensis,10
626,mo,2,ukw4,Agrostis spp.,5
626,mo,2,herb,Asteraceae,25
626,mo,2,sedge,Cyperaceae,5
626,mo,3,ange,Andropogon gerardii,50
626,mo,3,sedge,Cyperaceae,50
626,mo,3,herb,Asteraceae,45
682,mo,1,ange,Andropogon gerardii,10
682,mo,1,fear,Festuca arundinacea,40
682,mo,1,herb,Asteraceae,60
682,mo,1,sedge,Cyperaceae,30
682,mo,2,fear,Festuca arundinacea,40
682,mo,2,ukw4,Agrostis spp.,5
682,mo,2,ange,Andropogon gerardii,5
682,mo,2,herb,Asteraceae,100
682,mo,2,sedge,Cyperaceae,5
682,mo,3,fear,Festuca arundinacea,60
682,mo,3,sedge,Cyperaceae,25
682,mo,3,ukw4,Agrostis spp.,15
682,mo,3,herb,Asteraceae,40
682,mo,3,ange,Andropogon gerardii,20
641,mo,1,ange,Andropogon gerardii,35
641,mo,1,fear,Festuca arundinacea,5
641,mo,1,herb,Asteraceae,45
641,mo,1,sedge,Cyperaceae,30
641,mo,1,bg,bare ground,10
641,mo,2,ange,Andropogon gerardii,35
641,mo,2,fear,Festuca arundinacea,10
641,mo,2,sedge,Cyperaceae,50
641,mo,2,herb,Asteraceae,55
641,mo,2,bg,bare ground,10
641,mo,3,ange,Andropogon gerardii,50
641,mo,3,fear,Festuca arundinacea,1
641,mo,3,herb,Asteraceae,55
641,mo,3,sedge,Cyperaceae,30
641,mo,3,bg,bare ground,5
643,mo,1,ange,Andropogon gerardii,15
643,mo,1,ukw4,Agrostis spp.,10
643,mo,1,sedge,Cyperaceae,40
643,mo,1,herb,Asteraceae,85
643,mo,2,ange,Andropogon gerardii,40
643,mo,2,ukw4,Agrostis spp.,5
643,mo,2,herb,Asteraceae,40
643,mo,2,sedge,Cyperaceae,50
643,mo,2,bg,bare ground,10
643,mo,3,ange,Andropogon gerardii,10
643,mo,3,ukw4,Agrostis spp.,5
643,mo,3,brte,Bromus tectorum,2
643,mo,3,herb,Asteraceae,40
643,mo,3,sedge,Cyperaceae,50
643,mo,3,bg,bare ground,10
642,mo,1,ange,Andropogon gerardii,60
642,mo,1,fear,Festuca arundinacea,20
642,mo,1,herb,Asteraceae,20
642,mo,1,sedge,Cyperaceae,30
642,mo,2,ange,Andropogon gerardii,80
642,mo,2,fear,Festuca arundinacea,60
642,mo,2,herb,Asteraceae,25
642,mo,2,sedge,Cyperaceae,15
642,mo,3,ange,Andropogon gerardii,50
642,mo,3,fear,Festuca arundinacea,30
642,mo,3,herb,Asteraceae,30
642,mo,3,sedge,Cyperaceae,25
642,mo,3,bg,bare ground,5
644,mo,1,ange,Andropogon gerardii,5
644,mo,1,elca4,Elymus canadensis,15
644,mo,1,pavi2,Panicum virgatum,10
644,mo,1,herb,Asteraceae,85
644,mo,1,sedge,Cyperaceae,25
644,mo,2,ange,Andropogon gerardii,55
644,mo,2,elca4,Elymus canadensis,10
644,mo,2,ukw4,Agrostis spp.,10
644,mo,2,brte,Bromus tectorum,2
644,mo,2,herb,Asteraceae,90
644,mo,3,ange,Andropogon gerardii,35
644,mo,3,ukw4,Agrostis spp.,1
644,mo,3,herb,Asteraceae,60
644,mo,3,sedge,Cyperaceae,80
644,mo,3,bg,bare ground,10
645,mo,1,ange,Andropogon gerardii,25
645,mo,1,herb,Asteraceae,90
645,mo,1,sedge,Cyperaceae,20
645,mo,2,ange,Andropogon gerardii,60
645,mo,2,brte,Bromus tectorum,5
645,mo,2,herb,Asteraceae,40
645,mo,2,sedge,Cyperaceae,25
645,mo,2,bg,bare ground,15
645,mo,3,ange,Andropogon gerardii,30
645,mo,3,elca4,Elymus canadensis,5
645,mo,3,herb,Asteraceae,20
645,mo,3,sedge,Cyperaceae,55
646,mo,1,ange,Andropogon gerardii,80
646,mo,1,brte,Bromus tectorum,10
646,mo,1,elca4,Elymus canadensis,5
646,mo,1,herb,Asteraceae,30
646,mo,1,sedge,Cyperaceae,5
646,mo,2,ange,Andropogon gerardii,60
646,mo,2,elca4,Elymus canadensis,10
646,mo,2,brte,Bromus tectorum,20
646,mo,2,herb,Asteraceae,35
646,mo,2,sedge,Cyperaceae,20
646,mo,2,bg,bare ground,10
646,mo,3,ange,Andropogon gerardii,20
646,mo,3,elca4,Elymus canadensis,80
646,mo,3,sedge,Cyperaceae,40
646,mo,3,herb,Asteraceae,20
646,mo,3,brte,Bromus tectorum,5
648,mo,1,elca4,Elymus canadensis,5
648,mo,1,ange,Andropogon gerardii,10
648,mo,1,ukw4,Agrostis spp.,10
648,mo,1,herb,Asteraceae,25
648,mo,1,sedge,Cyperaceae,100
648,mo,2,ange,Andropogon gerardii,10
648,mo,2,elca4,Elymus canadensis,15
648,mo,2,ukw4,Agrostis spp.,15
648,mo,2,herb,Asteraceae,30
648,mo,2,sedge,Cyperaceae,80
648,mo,3,ange,Andropogon gerardii,45
648,mo,3,ukw4,Agrostis spp.,10
648,mo,3,herb,Asteraceae,20
648,mo,3,sedge,Cyperaceae,55
647,mo,1,ange,Andropogon gerardii,50
647,mo,1,herb,Asteraceae,5
647,mo,1,sedge,Cyperaceae,80
647,mo,1,brte,Bromus tectorum,5
647,mo,2,ange,Andropogon gerardii,20
647,mo,2,brte,Bromus tectorum,10
647,mo,2,sedge,Cyperaceae,80
647,mo,2,herb,Asteraceae,50
647,mo,3,ange,Andropogon gerardii,65
647,mo,3,brte,Bromus tectorum,20
647,mo,3,herb,Asteraceae,35
647,mo,3,sedge,Cyperaceae,80
649,mo,1,ange,Andropogon gerardii,25
649,mo,1,herb,Asteraceae,80
649,mo,1,sedge,Cyperaceae,60
649,mo,2,ange,Andropogon gerardii,10
649,mo,2,herb,Asteraceae,75
649,mo,2,sedge,Cyperaceae,70
649,mo,3,ange,Andropogon gerardii,5
649,mo,3,herb,Asteraceae,55
649,mo,3,sedge,Cyperaceae,55
650,mo,1,ange,Andropogon gerardii,50
650,mo,1,herb,Asteraceae,40
650,mo,1,sedge,Cyperaceae,75
650,mo,1,elca4,Elymus canadensis,10
650,mo,2,elca4,Elymus canadensis,25
650,mo,2,ange,Andropogon gerardii,20
650,mo,2,herb,Asteraceae,55
650,mo,2,sedge,Cyperaceae,70
650,mo,3,elca4,Elymus canadensis,10
650,mo,3,herb,Asteraceae,65
650,mo,3,sedge,Cyperaceae,50
651,mo,1,brte,Bromus tectorum,5
651,mo,1,elca4,Elymus canadensis,10
651,mo,1,herb,Asteraceae,100
651,mo,1,sedge,Cyperaceae,1
651,mo,2,ange,Andropogon gerardii,25
651,mo,2,herb,Asteraceae,98
651,mo,2,bg,bare ground,2
651,mo,3,ange,Andropogon gerardii,25
651,mo,3,brte,Bromus tectorum,3
651,mo,3,herb,Asteraceae,100
651,mo,3,sedge,Cyperaceae,1
652,mo,1,ange,Andropogon gerardii,65
652,mo,1,herb,Asteraceae,60
652,mo,1,sedge,Cyperaceae,20
652,mo,2,ange,Andropogon gerardii,35
652,mo,2,sedge,Cyperaceae,100
652,mo,2,herb,Asteraceae,1
652,mo,3,ange,Andropogon gerardii,55
652,mo,3,sedge,Cyperaceae,70
652,mo,3,brte,Bromus tectorum,2
653,mo,1,ange,Andropogon gerardii,25
653,mo,1,sedge,Cyperaceae,15
653,mo,1,herb,Asteraceae,100
653,mo,2,ange,Andropogon gerardii,10
653,mo,2,herb,Asteraceae,100
653,mo,2,sedge,Cyperaceae,60
653,mo,3,ange,Andropogon gerardii,30
653,mo,3,herb,Asteraceae,100
653,mo,3,sedge,Cyperaceae,60
654,mo,1,elca4,Elymus canadensis,15
654,mo,1,ange,Andropogon gerardii,25
654,mo,1,brte,Bromus tectorum,2
654,mo,1,herb,Asteraceae,40
654,mo,1,sedge,Cyperaceae,80
654,mo,2,ange,Andropogon gerardii,20
654,mo,2,sedge,Cyperaceae,35
654,mo,2,herb,Asteraceae,80
654,mo,3,ange,Andropogon gerardii,20
654,mo,3,brte,Bromus tectorum,15
654,mo,3,herb,Asteraceae,90
654,mo,3,sedge,Cyperaceae,50
655,mo,1,ange,Andropogon gerardii,20
655,mo,1,herb,Asteraceae,90
655,mo,1,sedge,Cyperaceae,35
655,mo,2,ange,Andropogon gerardii,20
655,mo,2,herb,Asteraceae,75
655,mo,2,brte,Bromus tectorum,2
655,mo,2,sedge,Cyperaceae,30
655,mo,3,ange,Andropogon gerardii,60
655,mo,3,herb,Asteraceae,75
655,mo,3,brte,Bromus tectorum,3
655,mo,3,sedge,Cyperaceae,10
657,mo,1,elca4,Elymus canadensis,35
657,mo,1,brte,Bromus tectorum,3
657,mo,1,ange,Andropogon gerardii,5
657,mo,1,herb,Asteraceae,80
657,mo,1,sedge,Cyperaceae,10
657,mo,2,elca4,Elymus canadensis,5
657,mo,2,brte,Bromus tectorum,10
657,mo,2,herb,Asteraceae,100
657,mo,3,ange,Andropogon gerardii,30
657,mo,3,elca4,Elymus canadensis,5
657,mo,3,herb,Asteraceae,75
657,mo,3,sedge,Cyperaceae,60