tree_ID,lat,lon,ele
MO601,37.49783657,-94.0925845,320.2424316
MO602,37.49780749,-94.09241293,319.7618408
MO603,37.49801201,-94.09235727,320.4827881
MO604,37.49783624,-94.09214236,320.2424316
MO605,37.49750532,-94.09201772,321.6844482
MO606,37.49722654,-94.09210514,321.2038574
MO607,37.49710517,-94.0920204,320.7231445
MO608,37.49713132,-94.09180088,322.8861084
MO609,37.49695765,-94.09183734,320.4827881
MO610,37.49675715,-94.09188495,321.4440918
MO611,37.49687576,-94.09193181,321.4440918
MO612,37.49693887,-94.0920862,320.4827881
MO613,37.49692865,-94.09222132,322.1650391
MO614,37.49711389,-94.09236356,321.9248047
MO615,37.49666923,-94.09252952,319.0408936
MO616,37.49692622,-94.09178202,320.963501
MO617,37.49721128,-94.0920396,320.4827881
MO618,37.49716954,-94.09189962,318.8005371
MO619,37.49679797,-94.0921981,324.0876465
MO620,37.49664148,-94.09193792,322.4053955
MO621,37.4962389,-94.09200372,320.2424316
MO622,37.49621225,-94.092425,322.8861084
MO623,37.49566281,-94.092166,324.5683594
MO624,37.49582869,-94.09213859,322.8861084
MO625,37.49614452,-94.09315171,320.4827881
MO626,37.49493317,-94.09214831,318.8005371
MO627,37.4953101,-94.09147172,321.2038574
MO628,37.49587177,-94.09153794,322.1650391
MO629,37.4959509,-94.09163039,320.4827881
MO630,37.4960146,-94.09159242,319.7618408
MO631,37.49612256,-94.09187397,323.6070557
MO632,37.49614595,-94.09199635,321.9248047
MO633,37.4961063,-94.09209835,317.8392334
MO634,37.49590798,-94.09216088,319.0408936
MO635,37.49612994,-94.09253715,319.7618408
MO636,37.49604092,-94.09260521,322.8861084
MO637,37.49548721,-94.09250529,322.645752
MO638,37.49509871,-94.09129059,318.0795898
MO640,37.49497415,-94.0915946,318.5601807
MO641,37.49487768,-94.09105816,322.1650391
MO642,37.49483887,-94.0910512,319.7618408
MO643,37.49498941,-94.09098934,317.3586426
MO644,37.49524221,-94.09101055,317.598877
MO645,37.49537037,-94.09087032,318.0795898
MO646,37.49531899,-94.09072263,318.8005371
MO647,37.4956069,-94.09067645,316.8779297
MO648,37.49545419,-94.09043312,319.28125
MO649,37.49563574,-94.09015501,317.8392334
MO650,37.49568502,-94.09012022,319.5214844
MO651,37.49599775,-94.09020916,318.5601807
MO652,37.49609834,-94.09014998,317.598877
MO653,37.49603447,-94.08974748,319.5214844
MO654,37.49617838,-94.08978612,318.8005371
MO655,37.49624485,-94.09012634,317.3586426
MO656,37.49602223,-94.09105824,315.6761475
MO657,37.49624728,-94.09049448,317.1182861
MO658,37.49622482,-94.09066002,315.6761475
MO659,37.49619364,-94.09089094,316.8779297
MO660,37.49612038,-94.0909388,319.28125
MO661,37.49674114,-94.09093662,321.6844482
MO662,37.49676914,-94.09062942,319.7618408
MO663,37.49685572,-94.09059322,318.3198242
MO664,37.49691792,-94.09054502,319.7618408
MO665,37.4970206,-94.09053018,318.5601807
MO666,37.49684969,-94.0901732,319.28125
MO667,37.49704281,-94.09035349,318.3198242
MO668,37.4971221,-94.09051308,318.8005371
MO669,37.49700618,-94.09077083,319.0408936
MO670,37.49698782,-94.09097116,321.2038574
MO671,37.49728882,-94.09080964,319.28125
MO672,37.49738202,-94.09063085,318.8005371
MO673,37.49776659,-94.09059162,319.0408936
MO674,37.49750515,-94.09009902,320.2424316
MO675,37.49741253,-94.09007597,320.4827881
MO676,37.49730013,-94.0910932,319.7618408
MO677,37.49752787,-94.0909077,320.2424316
MO678,37.49737406,-94.0908839,320.963501
MO679,37.49715546,-94.09097644,320.4827881
MO680,37.49706552,-94.09104039,319.28125
MO682,37.49489998,-94.09222702,319.5214844