tree.id,mortality,crown.alive
mo682,1,0
mo626,0,75
mo640,1,0
mo638,1,0
mo644,1,0
mo645,1,0
mo646,1,0
mo648,1,0
mo647,1,0
mo649,0,1
mo650,0,10
mo651,1,0
mo652,1,0
mo655,1,0
mo654,1,0
mo653,1,0
mo657,1,0
mo658,0,45
mo659,1,0
mo660,0,45
mo656,1,0
mo628,0,40
mo629,0,5
mo630,1,0
mo631,1,0
mo632,1,0
mo621,0,3
mo633,1,0
mo634,1,0
mo624,1,0
mo623,1,0
mo637,1,0
mo636,1,0
mo635,0,1
mo622,0,25
mo625,0,50
mo627,0,25
mo643,0,1
mo641,1,0
mo642,0,1
mo661,1,0
mo662,1,0
mo663,1,0
mo664,1,0
mo665,1,0
mo666,0,1
mo667,1,0
mo668,1,0
mo669,0,15
mo670,0,10
mo671,0,1
mo672,1,0
mo673,1,0
mo674,1,0
mo675,1,0
mo676,1,0
mo677,0,30
mo678,1,0
mo679,0,40
mo680,1,0
mo601,0,100
mo602,0,60
mo603,1,0
mo604,0,100
mo605,0,95
mo606,0,55
mo607,0,80
mo608,0,100
mo609,0,65
mo610,0,95
mo611,0,100
mo612,0,85
mo613,0,100
mo614,0,100
mo615,0,80
mo616,0,85
mo617,0,100
mo618,0,100
mo619,0,90
mo620,0,80